Reaction_No,Reactant_1_Name,Reactant_1_Short_Hand,Reactant_1_eq,Reactant_1_mmol,Reactant_2_Name,Reactant_2_eq,Catalyst_1_Short_Hand,Catalyst_1_eq,Ligand_Short_Hand,Ligand_eq,Reagent_1_Short_Hand,Reagent_1_eq,Solvent_1_Short_Hand,Product_Yield_PCT_Area_UV,Product_Yield_Mass_Ion_Count,source_dataset,source_record_id,reaction_id,reaction_group_id,record_class,is_control,ligand_raw,ligand,ligand_is_blank,base_raw,base,base_is_blank,solvent_1_raw,solvent_1,solvent_normalization_note,aqueous_cosolvent,organic_to_water_volume_ratio,catalyst,catalyst_equiv,ligand_equiv_reported,base_equiv_reported,reactant_1_equiv,reactant_1_mmol,reactant_2_equiv,temperature_c,residence_time_min,pressure_bar,flow_rate_ml_min,injection_volume_per_component_ul,reaction_segment_interval_s,reaction_environment,yield_percent,yield_observed,zero_yield,yield_type,measurement_method,product_mass_ion_count,substrate_smiles,product_smiles
11,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,Xantphos,0.125,NaOH,2.5,MeCN,2.10830716745609,897.8153797202951,perera_suzuki_miyaura_2018,11,PERERA_SM_0011,PERERA_SM_1a_2a,main_matrix,False,Xantphos,Xantphos,False,NaOH,NaOH,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,2.10830716745609,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,897.8153797202951,not_reported,not_reported
12,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,None,,NaOH,2.5,MeCN,17.0852310620033,81111.31911548092,perera_suzuki_miyaura_2018,12,PERERA_SM_0012,PERERA_SM_1a_2a,main_matrix,False,None,NULL_COMPONENT,True,NaOH,NaOH,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,17.0852310620033,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,81111.31911548092,not_reported,not_reported
13,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,NaHCO3,2.5,MeCN,3.15768624811382,4185.915963125082,perera_suzuki_miyaura_2018,13,PERERA_SM_0013,PERERA_SM_1a_2a,main_matrix,False,P(tBu)3,P(tBu)3,False,NaHCO3,NaHCO3,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,3.15768624811382,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,4185.915963125082,not_reported,not_reported
14,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,NaHCO3,2.5,MeCN,4.75379053091498,12755.633755157703,perera_suzuki_miyaura_2018,14,PERERA_SM_0014,PERERA_SM_1a_2a,main_matrix,False,P(Ph)3 ,P(Ph)3 ,False,NaHCO3,NaHCO3,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,4.75379053091498,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,12755.633755157703,not_reported,not_reported
15,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,AmPhos,0.125,NaHCO3,2.5,MeCN,2.46181658212302,2850.543621406481,perera_suzuki_miyaura_2018,15,PERERA_SM_0015,PERERA_SM_1a_2a,main_matrix,False,AmPhos,AmPhos,False,NaHCO3,NaHCO3,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,2.46181658212302,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,2850.543621406481,not_reported,not_reported
16,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,NaHCO3,2.5,MeCN,5.26714086508017,35567.24537626748,perera_suzuki_miyaura_2018,16,PERERA_SM_0016,PERERA_SM_1a_2a,main_matrix,False,P(Cy)3,P(Cy)3,False,NaHCO3,NaHCO3,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,5.26714086508017,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,35567.24537626748,not_reported,not_reported
17,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,NaHCO3,2.5,MeCN,1.95634116073256,2606.6432180868387,perera_suzuki_miyaura_2018,17,PERERA_SM_0017,PERERA_SM_1a_2a,main_matrix,False,P(o-Tol)3,P(o-Tol)3,False,NaHCO3,NaHCO3,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,1.95634116073256,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,2606.6432180868387,not_reported,not_reported
18,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,CataCXium A,0.125,NaHCO3,2.5,MeCN,3.34705214713383,11110.368884144671,perera_suzuki_miyaura_2018,18,PERERA_SM_0018,PERERA_SM_1a_2a,main_matrix,False,CataCXium A,CataCXium A,False,NaHCO3,NaHCO3,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,3.34705214713383,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,11110.368884144671,not_reported,not_reported
19,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,SPhos,0.125,NaHCO3,2.5,MeCN,69.22093433688,80639.82765705751,perera_suzuki_miyaura_2018,19,PERERA_SM_0019,PERERA_SM_1a_2a,main_matrix,False,SPhos,SPhos,False,NaHCO3,NaHCO3,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,69.22093433688,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,80639.82765705751,not_reported,not_reported
20,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dtbpf,0.125,NaHCO3,2.5,MeCN,5.10255242912967,6992.255830387697,perera_suzuki_miyaura_2018,20,PERERA_SM_0020,PERERA_SM_1a_2a,main_matrix,False,dtbpf,dtbpf,False,NaHCO3,NaHCO3,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,5.10255242912967,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,6992.255830387697,not_reported,not_reported
21,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,XPhos,0.125,NaHCO3,2.5,MeCN,83.1906321409627,93978.65302501473,perera_suzuki_miyaura_2018,21,PERERA_SM_0021,PERERA_SM_1a_2a,main_matrix,False,XPhos,XPhos,False,NaHCO3,NaHCO3,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,83.1906321409627,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,93978.65302501473,not_reported,not_reported
22,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dppf,0.125,NaHCO3,2.5,MeCN,13.6803816727274,7748.875678221728,perera_suzuki_miyaura_2018,22,PERERA_SM_0022,PERERA_SM_1a_2a,main_matrix,False,dppf,dppf,False,NaHCO3,NaHCO3,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,13.6803816727274,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,7748.875678221728,not_reported,not_reported
23,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,Xantphos,0.125,NaHCO3,2.5,MeCN,1.82471592243866,511.7345945587691,perera_suzuki_miyaura_2018,23,PERERA_SM_0023,PERERA_SM_1a_2a,main_matrix,False,Xantphos,Xantphos,False,NaHCO3,NaHCO3,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,1.82471592243866,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,511.7345945587691,not_reported,not_reported
24,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,None,,NaHCO3,2.5,MeCN,10.994082002904,49531.99193236164,perera_suzuki_miyaura_2018,24,PERERA_SM_0024,PERERA_SM_1a_2a,main_matrix,False,None,NULL_COMPONENT,True,NaHCO3,NaHCO3,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,10.994082002904,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,49531.99193236164,not_reported,not_reported
25,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,CsF,2.5,MeCN,1.78675303928125,3366.805139531979,perera_suzuki_miyaura_2018,25,PERERA_SM_0025,PERERA_SM_1a_2a,main_matrix,False,P(tBu)3,P(tBu)3,False,CsF,CsF,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,1.78675303928125,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,3366.805139531979,not_reported,not_reported
26,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,CsF,2.5,MeCN,4.35920116829955,14015.838653012372,perera_suzuki_miyaura_2018,26,PERERA_SM_0026,PERERA_SM_1a_2a,main_matrix,False,P(Ph)3 ,P(Ph)3 ,False,CsF,CsF,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,4.35920116829955,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,14015.838653012372,not_reported,not_reported
27,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,AmPhos,0.125,CsF,2.5,MeCN,2.70970319261194,4001.5984936129703,perera_suzuki_miyaura_2018,27,PERERA_SM_0027,PERERA_SM_1a_2a,main_matrix,False,AmPhos,AmPhos,False,CsF,CsF,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,2.70970319261194,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,4001.5984936129703,not_reported,not_reported
28,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,CsF,2.5,MeCN,6.48652823683892,37162.73626856838,perera_suzuki_miyaura_2018,28,PERERA_SM_0028,PERERA_SM_1a_2a,main_matrix,False,P(Cy)3,P(Cy)3,False,CsF,CsF,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,6.48652823683892,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,37162.73626856838,not_reported,not_reported
29,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,CsF,2.5,MeCN,2.10068590036068,2770.5078635229947,perera_suzuki_miyaura_2018,29,PERERA_SM_0029,PERERA_SM_1a_2a,main_matrix,False,P(o-Tol)3,P(o-Tol)3,False,CsF,CsF,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,2.10068590036068,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,2770.5078635229947,not_reported,not_reported
30,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,CataCXium A,0.125,CsF,2.5,MeCN,3.32272956618858,9690.6075654321,perera_suzuki_miyaura_2018,30,PERERA_SM_0030,PERERA_SM_1a_2a,main_matrix,False,CataCXium A,CataCXium A,False,CsF,CsF,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,3.32272956618858,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,9690.6075654321,not_reported,not_reported
31,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,SPhos,0.125,CsF,2.5,MeCN,68.4440016475539,77744.35161688754,perera_suzuki_miyaura_2018,31,PERERA_SM_0031,PERERA_SM_1a_2a,main_matrix,False,SPhos,SPhos,False,CsF,CsF,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,68.4440016475539,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,77744.35161688754,not_reported,not_reported
32,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dtbpf,0.125,CsF,2.5,MeCN,5.83810017338261,6065.995417916585,perera_suzuki_miyaura_2018,32,PERERA_SM_0032,PERERA_SM_1a_2a,main_matrix,False,dtbpf,dtbpf,False,CsF,CsF,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,5.83810017338261,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,6065.995417916585,not_reported,not_reported
33,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,XPhos,0.125,CsF,2.5,MeCN,73.0197105076637,83146.07624823158,perera_suzuki_miyaura_2018,33,PERERA_SM_0033,PERERA_SM_1a_2a,main_matrix,False,XPhos,XPhos,False,CsF,CsF,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,73.0197105076637,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,83146.07624823158,not_reported,not_reported
34,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dppf,0.125,CsF,2.5,MeCN,13.1958561281243,4335.303848588511,perera_suzuki_miyaura_2018,34,PERERA_SM_0034,PERERA_SM_1a_2a,main_matrix,False,dppf,dppf,False,CsF,CsF,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,13.1958561281243,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,4335.303848588511,not_reported,not_reported
35,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,Xantphos,0.125,CsF,2.5,MeCN,2.10098201074023,517.9272222688003,perera_suzuki_miyaura_2018,35,PERERA_SM_0035,PERERA_SM_1a_2a,main_matrix,False,Xantphos,Xantphos,False,CsF,CsF,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,2.10098201074023,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,517.9272222688003,not_reported,not_reported
36,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,None,,CsF,2.5,MeCN,10.218888659788,40428.33430056378,perera_suzuki_miyaura_2018,36,PERERA_SM_0036,PERERA_SM_1a_2a,main_matrix,False,None,NULL_COMPONENT,True,CsF,CsF,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,10.218888659788,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,40428.33430056378,not_reported,not_reported
37,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,K3PO4,2.5,MeCN,3.00400388935548,4636.026037546893,perera_suzuki_miyaura_2018,37,PERERA_SM_0037,PERERA_SM_1a_2a,main_matrix,False,P(tBu)3,P(tBu)3,False,K3PO4,K3PO4,False,MeCN,MeCN,original_label,H2O,9:1,Pd(OAc)2,0.0625,0.125,2.5,1,0.0004,1,100.0,1.0,100.0,1.0,1.0,45.0,glovebox; O2 <20 ppm; H2O <20 ppm,3.00400388935548,True,False,lc_ms_uv_area_percent_reported,UPLC-MS/DAD; UV area percent,4636.026037546893,not_reported,not_reported
