component_id,registry_version,entity_scope,source_dataset,role,raw_value,normalized_name,component_value_state,structure_raw_value,normalized_smiles,canonical_smiles,inchikey,structure_status,structure_error_class,evidence_id,source_artifact_id,source_locator,review_status
CRB_V02_529A42C6FD6F3DF1,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,additive,ethyl-3-methoxyisoxazole-5-carboxylate,ethyl-3-methoxyisoxazole-5-carboxylate,explicit_component,CCOC(=O)c1onc(OC)c1,CCOC(=O)c1cc(OC)no1,CCOC(=O)c1cc(OC)no1,KHMGMIAARMPUOO-UHFFFAOYSA-N,success,none,ahneman_doyle_buchwald_hartwig_2018:source_condition:additive,ahneman_doyle_rxnpredict_v0_2_candidate,data/raw/ahneman_doyle_rxnpredict/smiles/additive-list.csv:component=ethyl-3-methoxyisoxazole-5-carboxylate,not_required
CRB_V02_3904B5DF14B9DB80,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,additive,ethyl-3-methylisoxazole-5-carboxylate,ethyl-3-methylisoxazole-5-carboxylate,explicit_component,CCOC(=O)c1onc(C)c1,CCOC(=O)c1cc(C)no1,CCOC(=O)c1cc(C)no1,LPMIZTNZMHVVSS-UHFFFAOYSA-N,success,none,ahneman_doyle_buchwald_hartwig_2018:source_condition:additive,ahneman_doyle_rxnpredict_v0_2_candidate,data/raw/ahneman_doyle_rxnpredict/smiles/additive-list.csv:component=ethyl-3-methylisoxazole-5-carboxylate,not_required
CRB_V02_097AB4FE6D86CCCA,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,additive,ethyl-5-methylisoxazole-3-carboxylate,ethyl-5-methylisoxazole-3-carboxylate,explicit_component,CCOC(=O)c1cc(C)on1,CCOC(=O)c1cc(C)on1,CCOC(=O)c1cc(C)on1,OCCIGHIQVMLYBZ-UHFFFAOYSA-N,success,none,ahneman_doyle_buchwald_hartwig_2018:source_condition:additive,ahneman_doyle_rxnpredict_v0_2_candidate,data/raw/ahneman_doyle_rxnpredict/smiles/additive-list.csv:component=ethyl-5-methylisoxazole-3-carboxylate,not_required
CRB_V02_0E9E258172DFD1BA,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,additive,ethyl-5-methylisoxazole-4-carboxylate,ethyl-5-methylisoxazole-4-carboxylate,explicit_component,CCOC(=O)c1cnoc1C,CCOC(=O)c1cnoc1C,CCOC(=O)c1cnoc1C,KOMSQTMQKWSQDW-UHFFFAOYSA-N,success,none,ahneman_doyle_buchwald_hartwig_2018:source_condition:additive,ahneman_doyle_rxnpredict_v0_2_candidate,data/raw/ahneman_doyle_rxnpredict/smiles/additive-list.csv:component=ethyl-5-methylisoxazole-4-carboxylate,not_required
CRB_V02_A82BD7D6126B836D,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,additive,ethyl-isoxazole-3-carboxylate,ethyl-isoxazole-3-carboxylate,explicit_component,CCOC(=O)c1ccon1,CCOC(=O)c1ccon1,CCOC(=O)c1ccon1,RKXWKTOBQOSONL-UHFFFAOYSA-N,success,none,ahneman_doyle_buchwald_hartwig_2018:source_condition:additive,ahneman_doyle_rxnpredict_v0_2_candidate,data/raw/ahneman_doyle_rxnpredict/smiles/additive-list.csv:component=ethyl-isoxazole-3-carboxylate,not_required
CRB_V02_B2400C649C71AC39,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,additive,ethyl-isoxazole-4-carboxylate,ethyl-isoxazole-4-carboxylate,explicit_component,CCOC(=O)c1conc1,CCOC(=O)c1cnoc1,CCOC(=O)c1cnoc1,SNBLIYQEFSVZLK-UHFFFAOYSA-N,success,none,ahneman_doyle_buchwald_hartwig_2018:source_condition:additive,ahneman_doyle_rxnpredict_v0_2_candidate,data/raw/ahneman_doyle_rxnpredict/smiles/additive-list.csv:component=ethyl-isoxazole-4-carboxylate,not_required
CRB_V02_9A5329BC8CF18542,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,additive,methyl-5-(furan-2-yl)isoxazole-3-carboxylate,methyl-5-(furan-2-yl)isoxazole-3-carboxylate,explicit_component,COC(=O)c1cc(on1)c2occc2,COC(=O)c1cc(-c2ccco2)on1,COC(=O)c1cc(-c2ccco2)on1,VTEZSUGFQUZAQW-UHFFFAOYSA-N,success,none,ahneman_doyle_buchwald_hartwig_2018:source_condition:additive,ahneman_doyle_rxnpredict_v0_2_candidate,data/raw/ahneman_doyle_rxnpredict/smiles/additive-list.csv:component=methyl-5-(furan-2-yl)isoxazole-3-carboxylate,not_required
CRB_V02_988B066F8FB34C33,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,additive,methyl-5-(thiophen-2-yl)isoxazole-3-carboxylate,methyl-5-(thiophen-2-yl)isoxazole-3-carboxylate,explicit_component,COC(=O)c1cc(on1)c2sccc2,COC(=O)c1cc(-c2cccs2)on1,COC(=O)c1cc(-c2cccs2)on1,HNUBQXDECCWAJW-UHFFFAOYSA-N,success,none,ahneman_doyle_buchwald_hartwig_2018:source_condition:additive,ahneman_doyle_rxnpredict_v0_2_candidate,data/raw/ahneman_doyle_rxnpredict/smiles/additive-list.csv:component=methyl-5-(thiophen-2-yl)isoxazole-3-carboxylate,not_required
CRB_V02_6F3CA8525384F4AB,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,additive,methyl-isoxazole-5-carboxylate,methyl-isoxazole-5-carboxylate,explicit_component,COC(=O)c1oncc1,COC(=O)c1ccno1,COC(=O)c1ccno1,ILPCPKZAAQXHKL-UHFFFAOYSA-N,success,none,ahneman_doyle_buchwald_hartwig_2018:source_condition:additive,ahneman_doyle_rxnpredict_v0_2_candidate,data/raw/ahneman_doyle_rxnpredict/smiles/additive-list.csv:component=methyl-isoxazole-5-carboxylate,not_required
CRB_V02_61A457E6229CBAE1,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,base,BTMG,BTMG,explicit_component,CN(C)/C(N(C)C)=N\C(C)(C)C,CN(C)C(=NC(C)(C)C)N(C)C,CN(C)C(=NC(C)(C)C)N(C)C,YQHJFPFNGVDEDT-UHFFFAOYSA-N,success,none,ahneman_doyle_buchwald_hartwig_2018:source_condition:base,ahneman_doyle_rxnpredict_v0_2_candidate,data/raw/ahneman_doyle_rxnpredict/smiles/base-list.csv:name=BTMG,not_required
CRB_V02_C361050676D5342A,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,base,MTBD,MTBD,explicit_component,CN1CCCN2CCCN=C12,CN1CCCN2CCCN=C12,CN1CCCN2CCCN=C12,OEBXWWBYZJNKRK-UHFFFAOYSA-N,success,none,ahneman_doyle_buchwald_hartwig_2018:source_condition:base,ahneman_doyle_rxnpredict_v0_2_candidate,data/raw/ahneman_doyle_rxnpredict/smiles/base-list.csv:name=MTBD,not_required
CRB_V02_3280943871E1E273,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,base,P2Et,P2Et,explicit_component,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,CCN=P(N=P(N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,CFUKEHPEQCSIOM-UHFFFAOYSA-N,success,none,ahneman_doyle_buchwald_hartwig_2018:source_condition:base,ahneman_doyle_rxnpredict_v0_2_candidate,data/raw/ahneman_doyle_rxnpredict/smiles/base-list.csv:name=P2Et,not_required
CRB_V02_5BB9226C075EE565,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,catalyst_system,AdBrettPhos,AdBrettPhos,explicit_component,not_reported,NA,NA,NA,not_supported,role_not_supported_by_source_boundary,ahneman_doyle_buchwald_hartwig_2018:source_condition:catalyst_system,ahneman_doyle_rxnpredict_v0_2_candidate,data/raw/ahneman_doyle_rxnpredict/layout/Table_S1.csv:role=catalyst_system;value=AdBrettPhos,not_required
CRB_V02_F2F8F51BDAA574CC,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,catalyst_system,XPhos,XPhos,explicit_component,not_reported,NA,NA,NA,not_supported,role_not_supported_by_source_boundary,ahneman_doyle_buchwald_hartwig_2018:source_condition:catalyst_system,ahneman_doyle_rxnpredict_v0_2_candidate,data/raw/ahneman_doyle_rxnpredict/layout/Table_S1.csv:role=catalyst_system;value=XPhos,not_required
CRB_V02_238392105F4DBBD8,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,catalyst_system,t-BuBrettPhos,t-BuBrettPhos,explicit_component,not_reported,NA,NA,NA,not_supported,role_not_supported_by_source_boundary,ahneman_doyle_buchwald_hartwig_2018:source_condition:catalyst_system,ahneman_doyle_rxnpredict_v0_2_candidate,data/raw/ahneman_doyle_rxnpredict/layout/Table_S1.csv:role=catalyst_system;value=t-BuBrettPhos,not_required
CRB_V02_F60BA9AC84B38F22,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,catalyst_system,t-BuXPhos,t-BuXPhos,explicit_component,not_reported,NA,NA,NA,not_supported,role_not_supported_by_source_boundary,ahneman_doyle_buchwald_hartwig_2018:source_condition:catalyst_system,ahneman_doyle_rxnpredict_v0_2_candidate,data/raw/ahneman_doyle_rxnpredict/layout/Table_S1.csv:role=catalyst_system;value=t-BuXPhos,not_required
CRB_V02_62E3576FDCE2B713,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,ligand,AdBrettPhos,AdBrettPhos,explicit_component,CC(C1=C(C2=C(OC)C=CC(OC)=C2P(C34CC5CC(C4)CC(C5)C3)C67CC8CC(C7)CC(C8)C6)C(C(C)C)=CC(C(C)C)=C1)C,COc1ccc(OC)c(P(C23CC4CC(CC(C4)C2)C3)C23CC4CC(CC(C4)C2)C3)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,COc1ccc(OC)c(P(C23CC4CC(CC(C4)C2)C3)C23CC4CC(CC(C4)C2)C3)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,NMGHOZQCYNKWBG-UHFFFAOYSA-N,success,none,ahneman_doyle_buchwald_hartwig_2018:source_condition:ligand,ahneman_doyle_rxnpredict_v0_2_candidate,data/raw/ahneman_doyle_rxnpredict/smiles/ligand-list.csv:name=AdBrettPhos,not_required
CRB_V02_0D605D42E05783E8,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,ligand,XPhos,XPhos,explicit_component,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,UGOMMVLRQDMAQQ-UHFFFAOYSA-N,success,none,ahneman_doyle_buchwald_hartwig_2018:source_condition:ligand,ahneman_doyle_rxnpredict_v0_2_candidate,data/raw/ahneman_doyle_rxnpredict/smiles/ligand-list.csv:name=XPhos,not_required
CRB_V02_8156D734739DE776,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,ligand,t-BuBrettPhos,t-BuBrettPhos,explicit_component,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C(OC)=CC=C2OC,COc1ccc(OC)c(P(C(C)(C)C)C(C)(C)C)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,COc1ccc(OC)c(P(C(C)(C)C)C(C)(C)C)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,REWLCYPYZCHYSS-UHFFFAOYSA-N,success,none,ahneman_doyle_buchwald_hartwig_2018:source_condition:ligand,ahneman_doyle_rxnpredict_v0_2_candidate,data/raw/ahneman_doyle_rxnpredict/smiles/ligand-list.csv:name=t-BuBrettPhos,not_required
CRB_V02_C724594A38089DA3,core_v0_2_registry_source_scoped_v1,ahneman_doyle_buchwald_hartwig_2018,ahneman_doyle_buchwald_hartwig_2018,ligand,t-BuXPhos,t-BuXPhos,explicit_component,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C(C)(C)C)C(C)(C)C)c(C(C)C)c1,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C(C)(C)C)C(C)(C)C)c(C(C)C)c1,SACNIGZYDTUHKB-UHFFFAOYSA-N,success,none,ahneman_doyle_buchwald_hartwig_2018:source_condition:ligand,ahneman_doyle_rxnpredict_v0_2_candidate,data/raw/ahneman_doyle_rxnpredict/smiles/ligand-list.csv:name=t-BuXPhos,not_required
CRB_V02_D59B226CAF44314F,core_v0_2_registry_source_scoped_v1,perera_suzuki_miyaura_2018,perera_suzuki_miyaura_2018,atmosphere,glovebox; O2 <20 ppm; H2O <20 ppm,glovebox; O2 <20 ppm; H2O <20 ppm,explicit_component,not_reported,NA,NA,NA,not_supported,role_not_supported_by_source_boundary,perera_suzuki_miyaura_2018:source_condition:atmosphere,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_Data_File_S1.xlsx:Sheet1:role=atmosphere;value=glovebox; O2 <20 ppm; H2O <20 ppm,not_required
CRB_V02_725FC59413443ADF,core_v0_2_registry_source_scoped_v1,perera_suzuki_miyaura_2018,perera_suzuki_miyaura_2018,base,CsF,CsF,explicit_component,not_reported,NA,NA,NA,not_supported,role_not_supported_by_source_boundary,perera_suzuki_miyaura_2018:source_condition:base,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_Data_File_S1.xlsx:Sheet1:role=base;value=CsF,not_required
CRB_V02_01D22C72481B9187,core_v0_2_registry_source_scoped_v1,perera_suzuki_miyaura_2018,perera_suzuki_miyaura_2018,base,Et3N,Et3N,explicit_component,not_reported,NA,NA,NA,not_supported,role_not_supported_by_source_boundary,perera_suzuki_miyaura_2018:source_condition:base,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_Data_File_S1.xlsx:Sheet1:role=base;value=Et3N,not_required
CRB_V02_87550EFEB4B43EB4,core_v0_2_registry_source_scoped_v1,perera_suzuki_miyaura_2018,perera_suzuki_miyaura_2018,base,K3PO4,K3PO4,explicit_component,not_reported,NA,NA,NA,not_supported,role_not_supported_by_source_boundary,perera_suzuki_miyaura_2018:source_condition:base,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_Data_File_S1.xlsx:Sheet1:role=base;value=K3PO4,not_required
CRB_V02_3E6D917F589CA3D3,core_v0_2_registry_source_scoped_v1,perera_suzuki_miyaura_2018,perera_suzuki_miyaura_2018,base,KOH,KOH,explicit_component,not_reported,NA,NA,NA,not_supported,role_not_supported_by_source_boundary,perera_suzuki_miyaura_2018:source_condition:base,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_Data_File_S1.xlsx:Sheet1:role=base;value=KOH,not_required
CRB_V02_15802677E8709FDC,core_v0_2_registry_source_scoped_v1,perera_suzuki_miyaura_2018,perera_suzuki_miyaura_2018,base,LiOtBu,LiOtBu,explicit_component,not_reported,NA,NA,NA,not_supported,role_not_supported_by_source_boundary,perera_suzuki_miyaura_2018:source_condition:base,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_Data_File_S1.xlsx:Sheet1:role=base;value=LiOtBu,not_required
CRB_V02_61E596285AC2881D,core_v0_2_registry_source_scoped_v1,perera_suzuki_miyaura_2018,perera_suzuki_miyaura_2018,base,NaHCO3,NaHCO3,explicit_component,not_reported,NA,NA,NA,not_supported,role_not_supported_by_source_boundary,perera_suzuki_miyaura_2018:source_condition:base,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_Data_File_S1.xlsx:Sheet1:role=base;value=NaHCO3,not_required
CRB_V02_8AD21A131EADAF9B,core_v0_2_registry_source_scoped_v1,perera_suzuki_miyaura_2018,perera_suzuki_miyaura_2018,base,NaOH,NaOH,explicit_component,not_reported,NA,NA,NA,not_supported,role_not_supported_by_source_boundary,perera_suzuki_miyaura_2018:source_condition:base,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_Data_File_S1.xlsx:Sheet1:role=base;value=NaOH,not_required
CRB_V02_346D212D2CA250B1,core_v0_2_registry_source_scoped_v1,perera_suzuki_miyaura_2018,perera_suzuki_miyaura_2018,base,None,NULL_COMPONENT,explicit_null_component,not_reported,NA,NA,NA,not_supported,role_not_supported_by_source_boundary,perera_suzuki_miyaura_2018:source_condition:base,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_Data_File_S1.xlsx:Sheet1:role=base;value=None,not_required
CRB_V02_E3D2A9B3870B3A2A,core_v0_2_registry_source_scoped_v1,perera_suzuki_miyaura_2018,perera_suzuki_miyaura_2018,catalyst,Pd(OAc)2,Pd(OAc)2,explicit_component,not_reported,NA,NA,NA,not_supported,role_not_supported_by_source_boundary,perera_suzuki_miyaura_2018:source_condition:catalyst,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_Data_File_S1.xlsx:Sheet1:role=catalyst;value=Pd(OAc)2,not_required
