composition_id,reaction_id,role,raw_label,component_component_id,component_scope,component_label,ratio_raw_value,ratio_raw_unit,ratio_normalized_value,ratio_normalized_unit,composition_rule_id,composition_rule_version,evidence_id,source_artifact_id,source_locator,review_status
CRB_COMP_5B35F9FFCD9EB536,PERERA_SM_0006,solvent,MeCN,CRB_V02_8FAB44EBFCBA06FF,perera_suzuki_miyaura_2018,organic_carrier,9:1,volume_ratio,9.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_2C2E0310A173EBDB,PERERA_SM_0006,solvent,MeCN,CRB_V02_1A520F6AF5E3F442,perera_suzuki_miyaura_2018,H2O,9:1,volume_ratio,1.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_B58FFABA4C238D08,PERERA_SM_0007,solvent,MeCN,CRB_V02_8FAB44EBFCBA06FF,perera_suzuki_miyaura_2018,organic_carrier,9:1,volume_ratio,9.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_39F7EB05D1B29734,PERERA_SM_0007,solvent,MeCN,CRB_V02_1A520F6AF5E3F442,perera_suzuki_miyaura_2018,H2O,9:1,volume_ratio,1.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_ADDB6C21C1375883,PERERA_SM_0008,solvent,MeCN,CRB_V02_8FAB44EBFCBA06FF,perera_suzuki_miyaura_2018,organic_carrier,9:1,volume_ratio,9.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_DFA1A4B40B76EFA4,PERERA_SM_0008,solvent,MeCN,CRB_V02_1A520F6AF5E3F442,perera_suzuki_miyaura_2018,H2O,9:1,volume_ratio,1.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_E394D5D08A260ECA,PERERA_SM_0009,solvent,MeCN,CRB_V02_8FAB44EBFCBA06FF,perera_suzuki_miyaura_2018,organic_carrier,9:1,volume_ratio,9.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_E8B9CD0EA5083321,PERERA_SM_0009,solvent,MeCN,CRB_V02_1A520F6AF5E3F442,perera_suzuki_miyaura_2018,H2O,9:1,volume_ratio,1.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_6DE123CE9899DC6B,PERERA_SM_0010,solvent,MeCN,CRB_V02_8FAB44EBFCBA06FF,perera_suzuki_miyaura_2018,organic_carrier,9:1,volume_ratio,9.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_BEB85C5977DC9CBC,PERERA_SM_0010,solvent,MeCN,CRB_V02_1A520F6AF5E3F442,perera_suzuki_miyaura_2018,H2O,9:1,volume_ratio,1.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_B9F745896C89A7D1,PERERA_SM_0011,solvent,MeCN,CRB_V02_8FAB44EBFCBA06FF,perera_suzuki_miyaura_2018,organic_carrier,9:1,volume_ratio,9.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_626626A379E551F3,PERERA_SM_0011,solvent,MeCN,CRB_V02_1A520F6AF5E3F442,perera_suzuki_miyaura_2018,H2O,9:1,volume_ratio,1.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_C741150EE4A340E1,PERERA_SM_0012,solvent,MeCN,CRB_V02_8FAB44EBFCBA06FF,perera_suzuki_miyaura_2018,organic_carrier,9:1,volume_ratio,9.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_43D92530E062226E,PERERA_SM_0012,solvent,MeCN,CRB_V02_1A520F6AF5E3F442,perera_suzuki_miyaura_2018,H2O,9:1,volume_ratio,1.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_9456C28726416B4E,PERERA_SM_0013,solvent,MeCN,CRB_V02_8FAB44EBFCBA06FF,perera_suzuki_miyaura_2018,organic_carrier,9:1,volume_ratio,9.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_AA41FE95FACEDE78,PERERA_SM_0013,solvent,MeCN,CRB_V02_1A520F6AF5E3F442,perera_suzuki_miyaura_2018,H2O,9:1,volume_ratio,1.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_634EAE33C100C681,PERERA_SM_0014,solvent,MeCN,CRB_V02_8FAB44EBFCBA06FF,perera_suzuki_miyaura_2018,organic_carrier,9:1,volume_ratio,9.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_8C2F7022888075CC,PERERA_SM_0014,solvent,MeCN,CRB_V02_1A520F6AF5E3F442,perera_suzuki_miyaura_2018,H2O,9:1,volume_ratio,1.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_088297DE32FF283E,PERERA_SM_0015,solvent,MeCN,CRB_V02_8FAB44EBFCBA06FF,perera_suzuki_miyaura_2018,organic_carrier,9:1,volume_ratio,9.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_F8075D5F88884AF4,PERERA_SM_0015,solvent,MeCN,CRB_V02_1A520F6AF5E3F442,perera_suzuki_miyaura_2018,H2O,9:1,volume_ratio,1.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_24D236ECB35B497D,PERERA_SM_0016,solvent,MeCN,CRB_V02_8FAB44EBFCBA06FF,perera_suzuki_miyaura_2018,organic_carrier,9:1,volume_ratio,9.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_A435AF917870E009,PERERA_SM_0016,solvent,MeCN,CRB_V02_1A520F6AF5E3F442,perera_suzuki_miyaura_2018,H2O,9:1,volume_ratio,1.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_1CC81A010EB98B7F,PERERA_SM_0017,solvent,MeCN,CRB_V02_8FAB44EBFCBA06FF,perera_suzuki_miyaura_2018,organic_carrier,9:1,volume_ratio,9.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_12D69C08D8C0F394,PERERA_SM_0017,solvent,MeCN,CRB_V02_1A520F6AF5E3F442,perera_suzuki_miyaura_2018,H2O,9:1,volume_ratio,1.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_F45C6E6BA5C8EE16,PERERA_SM_0018,solvent,MeCN,CRB_V02_8FAB44EBFCBA06FF,perera_suzuki_miyaura_2018,organic_carrier,9:1,volume_ratio,9.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_E80971168AA1A69E,PERERA_SM_0018,solvent,MeCN,CRB_V02_1A520F6AF5E3F442,perera_suzuki_miyaura_2018,H2O,9:1,volume_ratio,1.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_222788DA73B5331C,PERERA_SM_0019,solvent,MeCN,CRB_V02_8FAB44EBFCBA06FF,perera_suzuki_miyaura_2018,organic_carrier,9:1,volume_ratio,9.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_E06577E897945532,PERERA_SM_0019,solvent,MeCN,CRB_V02_1A520F6AF5E3F442,perera_suzuki_miyaura_2018,H2O,9:1,volume_ratio,1.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_F7B9811C550119FB,PERERA_SM_0020,solvent,MeCN,CRB_V02_8FAB44EBFCBA06FF,perera_suzuki_miyaura_2018,organic_carrier,9:1,volume_ratio,9.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_C50C8FB006F77F81,PERERA_SM_0020,solvent,MeCN,CRB_V02_1A520F6AF5E3F442,perera_suzuki_miyaura_2018,H2O,9:1,volume_ratio,1.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_9389558504596EAB,PERERA_SM_0021,solvent,MeCN,CRB_V02_8FAB44EBFCBA06FF,perera_suzuki_miyaura_2018,organic_carrier,9:1,volume_ratio,9.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_2A771EC11507742D,PERERA_SM_0021,solvent,MeCN,CRB_V02_1A520F6AF5E3F442,perera_suzuki_miyaura_2018,H2O,9:1,volume_ratio,1.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_2FD41C181F447026,PERERA_SM_0022,solvent,MeCN,CRB_V02_8FAB44EBFCBA06FF,perera_suzuki_miyaura_2018,organic_carrier,9:1,volume_ratio,9.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_484D7088A9D0B455,PERERA_SM_0022,solvent,MeCN,CRB_V02_1A520F6AF5E3F442,perera_suzuki_miyaura_2018,H2O,9:1,volume_ratio,1.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_F375A45116BB3215,PERERA_SM_0023,solvent,MeCN,CRB_V02_8FAB44EBFCBA06FF,perera_suzuki_miyaura_2018,organic_carrier,9:1,volume_ratio,9.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_6E672CFE891E1419,PERERA_SM_0023,solvent,MeCN,CRB_V02_1A520F6AF5E3F442,perera_suzuki_miyaura_2018,H2O,9:1,volume_ratio,1.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_6FE88D8695521522,PERERA_SM_0024,solvent,MeCN,CRB_V02_8FAB44EBFCBA06FF,perera_suzuki_miyaura_2018,organic_carrier,9:1,volume_ratio,9.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_6AD2E9CF547CD6A2,PERERA_SM_0024,solvent,MeCN,CRB_V02_1A520F6AF5E3F442,perera_suzuki_miyaura_2018,H2O,9:1,volume_ratio,1.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_2BA06779EAC8668A,PERERA_SM_0025,solvent,MeCN,CRB_V02_8FAB44EBFCBA06FF,perera_suzuki_miyaura_2018,organic_carrier,9:1,volume_ratio,9.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_1B7C97E4BC1B1703,PERERA_SM_0025,solvent,MeCN,CRB_V02_1A520F6AF5E3F442,perera_suzuki_miyaura_2018,H2O,9:1,volume_ratio,1.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_68E0C8AB35E9246F,PERERA_SM_0026,solvent,MeCN,CRB_V02_8FAB44EBFCBA06FF,perera_suzuki_miyaura_2018,organic_carrier,9:1,volume_ratio,9.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_834F5321A342B02B,PERERA_SM_0026,solvent,MeCN,CRB_V02_1A520F6AF5E3F442,perera_suzuki_miyaura_2018,H2O,9:1,volume_ratio,1.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_DF1E6F83D2434766,PERERA_SM_0027,solvent,MeCN,CRB_V02_8FAB44EBFCBA06FF,perera_suzuki_miyaura_2018,organic_carrier,9:1,volume_ratio,9.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_CFCB29D6AA602C80,PERERA_SM_0027,solvent,MeCN,CRB_V02_1A520F6AF5E3F442,perera_suzuki_miyaura_2018,H2O,9:1,volume_ratio,1.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_E71CB56B28EBA82F,PERERA_SM_0028,solvent,MeCN,CRB_V02_8FAB44EBFCBA06FF,perera_suzuki_miyaura_2018,organic_carrier,9:1,volume_ratio,9.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_BBE41A012CDB1914,PERERA_SM_0028,solvent,MeCN,CRB_V02_1A520F6AF5E3F442,perera_suzuki_miyaura_2018,H2O,9:1,volume_ratio,1.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_5DB10E9D390D4FF2,PERERA_SM_0029,solvent,MeCN,CRB_V02_8FAB44EBFCBA06FF,perera_suzuki_miyaura_2018,organic_carrier,9:1,volume_ratio,9.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_DB1C63078E64FE77,PERERA_SM_0029,solvent,MeCN,CRB_V02_1A520F6AF5E3F442,perera_suzuki_miyaura_2018,H2O,9:1,volume_ratio,1.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_7AC41CC4BA327AB3,PERERA_SM_0030,solvent,MeCN,CRB_V02_8FAB44EBFCBA06FF,perera_suzuki_miyaura_2018,organic_carrier,9:1,volume_ratio,9.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_ECBF7143C9FE09CA,PERERA_SM_0030,solvent,MeCN,CRB_V02_1A520F6AF5E3F442,perera_suzuki_miyaura_2018,H2O,9:1,volume_ratio,1.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_0D40C274CF102CD4,PERERA_SM_0031,solvent,MeCN,CRB_V02_8FAB44EBFCBA06FF,perera_suzuki_miyaura_2018,organic_carrier,9:1,volume_ratio,9.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_A542839736C8618E,PERERA_SM_0031,solvent,MeCN,CRB_V02_1A520F6AF5E3F442,perera_suzuki_miyaura_2018,H2O,9:1,volume_ratio,1.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_B9A99646CB405267,PERERA_SM_0032,solvent,MeCN,CRB_V02_8FAB44EBFCBA06FF,perera_suzuki_miyaura_2018,organic_carrier,9:1,volume_ratio,9.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_7BAC21DA572844F8,PERERA_SM_0032,solvent,MeCN,CRB_V02_1A520F6AF5E3F442,perera_suzuki_miyaura_2018,H2O,9:1,volume_ratio,1.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
CRB_COMP_391812D81442EC36,PERERA_SM_0033,solvent,MeCN,CRB_V02_8FAB44EBFCBA06FF,perera_suzuki_miyaura_2018,organic_carrier,9:1,volume_ratio,9.0,volume_parts,perera_documented_organic_water_ratio_v1,v1,PERERA_SI_S24_SOLVENT_9_TO_1,perera_suzuki_miyaura_v0_2_candidate,data/raw/perera_suzuki_miyaura/aap9112_perera_sm.pdf:S24,not_required
