component_id,role,normalized_name,source_dataset,raw_value,normalization_status,structure_smiles,evidence
CRB_BASE_C361050676D5,base,MTBD,ahneman_doyle_buchwald_hartwig_2018,MTBD,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_BASE_346D212D2CA2,base,NULL_COMPONENT,perera_suzuki_miyaura_2018,NULL_COMPONENT,explicit_null_component,not_reported,core_v0_1_processed_record
CRB_BASE_61E596285AC2,base,NaHCO3,perera_suzuki_miyaura_2018,NaHCO3,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_BASE_8AD21A131EAD,base,NaOH,perera_suzuki_miyaura_2018,NaOH,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_BASE_3280943871E1,base,P2Et,ahneman_doyle_buchwald_hartwig_2018,P2Et,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_CATALYST_E3D2A9B3870B,catalyst,Pd(OAc)2,perera_suzuki_miyaura_2018,Pd(OAc)2,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_CATALYST_SYSTEM_5BB9226C075E,catalyst_system,AdBrettPhos,ahneman_doyle_buchwald_hartwig_2018,AdBrettPhos,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_CATALYST_SYSTEM_F2F8F51BDAA5,catalyst_system,XPhos,ahneman_doyle_buchwald_hartwig_2018,XPhos,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_CATALYST_SYSTEM_238392105F4D,catalyst_system,t-BuBrettPhos,ahneman_doyle_buchwald_hartwig_2018,t-BuBrettPhos,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_CATALYST_SYSTEM_F60BA9AC84B3,catalyst_system,t-BuXPhos,ahneman_doyle_buchwald_hartwig_2018,t-BuXPhos,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_LIGAND_62E3576FDCE2,ligand,AdBrettPhos,ahneman_doyle_buchwald_hartwig_2018,AdBrettPhos,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_LIGAND_DF3F4CCBD125,ligand,AmPhos,perera_suzuki_miyaura_2018,AmPhos,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_LIGAND_073C06B8A662,ligand,CataCXium A,perera_suzuki_miyaura_2018,CataCXium A,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_LIGAND_10E7243B2849,ligand,NULL_COMPONENT,perera_suzuki_miyaura_2018,NULL_COMPONENT,explicit_null_component,not_reported,core_v0_1_processed_record
CRB_LIGAND_068094FBBDC5,ligand,P(Cy)3,perera_suzuki_miyaura_2018,P(Cy)3,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_LIGAND_7F525E57D6D2,ligand,P(Ph)3 ,perera_suzuki_miyaura_2018,P(Ph)3 ,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_LIGAND_9986563E6652,ligand,P(o-Tol)3,perera_suzuki_miyaura_2018,P(o-Tol)3,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_LIGAND_D6A4739E53F5,ligand,P(tBu)3,perera_suzuki_miyaura_2018,P(tBu)3,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_LIGAND_2F1FFA05B0D8,ligand,SPhos,perera_suzuki_miyaura_2018,SPhos,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_LIGAND_0D605D42E057,ligand,XPhos,ahneman_doyle_buchwald_hartwig_2018,XPhos,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_LIGAND_30D855DFD622,ligand,XPhos,perera_suzuki_miyaura_2018,XPhos,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_LIGAND_8BC0A5212D6A,ligand,Xantphos,perera_suzuki_miyaura_2018,Xantphos,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_LIGAND_A181D4387647,ligand,dppf,perera_suzuki_miyaura_2018,dppf,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_LIGAND_AB89ABB593C4,ligand,dtbpf,perera_suzuki_miyaura_2018,dtbpf,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_LIGAND_8156D734739D,ligand,t-BuBrettPhos,ahneman_doyle_buchwald_hartwig_2018,t-BuBrettPhos,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_LIGAND_C724594A3808,ligand,t-BuXPhos,ahneman_doyle_buchwald_hartwig_2018,t-BuXPhos,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_SOLVENT_1_87814BFC60B5,solvent_1,DMF,perera_suzuki_miyaura_2018,DMF,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_SOLVENT_1_8FAB44EBFCBA,solvent_1,MeCN,perera_suzuki_miyaura_2018,MeCN,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_SOLVENT_1_4D0589E74E45,solvent_1,MeOH,perera_suzuki_miyaura_2018,MeOH,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_SOLVENT_1_65C81502E2D3,solvent_1,THF,perera_suzuki_miyaura_2018,THF,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
CRB_SOLVENT_2_1A520F6AF5E3,solvent_2,H2O,perera_suzuki_miyaura_2018,H2O,identity_from_source_reconstruction,not_reported,core_v0_1_processed_record
